county,lat,lon,forest_kdry_metric,mill_kdry_metric,pulpwood_kdry_metric,Jesup -- Rayonier Advanced Materials Inc.,Oglethorpe -- International Paper Co.,Valdosta -- Packaging Corporation of America,"Conyers -- Pratt Industries USA, Inc.","Austell -- Sweetwater Paperboard Co., Inc.",Macon -- Irving Tissue Co.,Hawkinsville -- Hollingsworth & Vose Co.,Dublin -- Smurfit Westrock Paper USA,Rome -- International Paper Co.,Macon -- Graphic Packaging International Inc.,"Brunswick -- GP Cellulose, L.L.C.",Rincon -- Georgia-Pacific LLC,Port Wentworth -- International Paper Co.,Augusta -- Clearwater Paper Corp.,Albany -- Procter & Gamble Paper Products Co.,Austell -- Austell Boxboard Corp.
Houston,32.465975,-83.631394,17.27795762,425.1545086,16.409564917037297,128.8,33.39,128.14,104.71,99.44,34.25,19.37,56.19,158.7,36.39,168.4,160.83,165.06,149.13,83.87,98.34
Irwin,31.573011,-83.262451,16.01133006,0.0,7.496018988071108,99.41,81.75,56.3,180.49,175.22,110.03,56.27,84.72,234.48,112.17,130.34,171.51,154.39,175.12,65.19,174.11
Jackson,34.128256,-83.575339,6.641456157,0.0,7.432609909961051,237.82,172.32,281.67,46.49,80.19,137.32,181.95,138.78,105.47,112.14,306.25,216.91,232.58,118.28,237.4,81.21
Jasper,33.325463,-83.686856,30.79186752,335.2331468,67.81569564676224,188.47,83.68,190.11,41.93,52.6,40.83,90.38,81.08,111.71,39.89,261.36,196.43,200.65,114.3,145.84,51.5
Jeff Davis,31.774687,-82.680073,34.01012143,205.6472245,86.14652012471649,55.25,109.33,80.99,187.88,182.6,117.44,71.53,67.41,241.87,113.35,94.85,105.6,110.23,134.66,100.55,181.5
Jefferson,33.038039,-82.436141,39.25442812,143.3332984,150.65132789744771,116.28,142.57,183.01,119.89,146.35,92.03,92.22,52.94,189.67,88.37,180.26,98.29,119.55,44.83,163.37,147.49
Jenkins,32.779314,-81.961357,41.60299543,0.0,48.70361082072991,98.41,157.74,173.09,169.62,196.08,130.15,113.07,75.46,239.4,126.06,142.09,62.77,81.38,51.63,184.21,197.22
Johnson,32.693861,-82.637487,39.90634851,0.0,77.92957441036114,104.34,102.61,153.95,127.81,136.04,70.44,64.81,25.52,195.3,66.78,172.99,108.05,112.27,79.25,135.96,134.93
Jones,33.013767,-83.556672,22.64355183,0.0,69.86069435932421,163.89,68.95,163.7,61.54,74.29,18.4,63.98,67.2,133.55,15.3,236.78,171.84,176.06,120.07,119.43,73.19
Lamar,33.06494,-84.144595,20.77599977,294.667119,4.901548560480613,188.27,60.17,180.5,52.58,38.23,36.15,80.78,91.57,106.57,39.75,261.16,196.22,200.44,153.18,115.65,37.68
Lanier,31.029016,-83.076836,7.207234842,0.0,22.82616351693809,87.18,119.94,19.6,218.69,213.41,148.23,115.77,116.16,272.68,150.37,107.2,178.32,168.37,196.21,86.91,212.31
Laurens,32.423997,-82.938894,98.2814775,0.0,94.38364010832437,96.33,75.84,126.2,129.73,124.46,59.29,38.04,9.26,183.72,55.21,135.93,113.91,118.13,109.64,109.19,123.35
Lee,31.762016,-84.134621,9.53485249,0.0,17.059808966685132,153.5,44.23,92.36,160.52,140.43,90.06,60.62,102.97,214.51,92.2,187.02,207.62,211.84,214.38,10.96,139.88
Liberty,31.803163,-81.483441,42.34588145,0.0,81.98286505722133,34.31,179.75,137.0,257.41,252.14,186.98,141.96,132.28,311.4,182.89,52.43,44.33,34.38,135.13,189.29,251.04
Lincoln,33.787667,-82.450817,16.31179231,0.0,32.105721648398216,182.34,179.53,274.28,114.84,141.31,128.98,146.26,114.33,177.05,125.89,226.02,136.68,152.35,36.51,230.02,142.44
Long,31.77049,-81.753725,53.69729011,0.0,71.54337105781717,18.41,163.86,121.11,229.35,224.07,158.91,126.06,104.22,283.34,154.82,56.43,68.72,58.76,138.26,173.4,222.97
Lowndes,30.819562,-83.262826,22.73176093,365.0942507,119.56216149546738,102.07,123.19,3.37,221.94,216.66,151.48,119.02,136.62,275.92,153.62,122.09,193.2,183.25,216.67,84.61,215.56
Lumpkin,34.554608,-83.992681,3.474335958,0.0,2.428267813159864,301.27,184.15,293.5,82.05,86.81,149.15,193.78,204.57,87.73,152.75,374.16,259.89,275.56,161.26,249.23,87.83
Macon,32.342145,-84.046885,27.07881568,0.0,39.81260397339954,150.82,4.09,123.47,107.24,94.58,49.05,41.38,87.39,161.23,51.19,190.42,192.03,196.25,173.38,58.92,94.03
Madison,34.130753,-83.181741,7.446226375,0.0,2.044252026779354,219.72,155.25,260.48,64.89,107.64,112.39,160.76,138.73,132.92,112.08,288.15,198.8,214.47,100.18,216.21,108.65
Marion,32.347326,-84.52826,25.05551943,0.0,77.53337942099083,179.93,34.3,146.93,125.57,90.24,73.83,70.49,112.72,138.05,75.97,219.52,217.36,221.58,198.15,62.34,90.45
McDuffie,33.463184,-82.48302,19.85531728,0.0,26.232497250568073,146.86,144.28,239.04,98.07,124.53,93.74,117.77,87.93,167.85,90.64,208.68,120.58,136.25,34.97,194.77,125.67
McIntosh,31.497969,-81.392157,29.59828812,0.0,98.6394464488467,39.6,185.04,140.23,275.6,270.33,205.17,147.24,150.47,329.59,201.08,31.75,62.52,52.57,169.85,193.35,269.23
Meriwether,33.037358,-84.67178,25.63301339,166.546081,45.712989248523094,215.39,80.44,204.08,83.22,41.06,71.94,105.95,131.6,86.65,78.12,254.98,236.24,240.46,205.74,120.38,41.27
Miller,31.159106,-84.737836,5.693897457,0.0,6.6357895327773955,202.03,107.51,104.9,229.96,201.86,155.04,122.59,164.94,229.84,157.19,222.85,269.59,273.81,279.37,52.95,202.08
Mitchell,31.260876,-84.179418,18.48118488,0.0,29.019880498615205,162.17,87.79,69.49,199.53,194.26,129.07,96.62,129.58,238.38,131.21,182.98,227.4,231.62,253.4,33.23,193.16
Monroe,33.014234,-83.904416,32.88545539,0.0,41.2202848303742,175.56,60.1,167.79,57.35,52.08,23.44,68.07,78.87,111.34,27.04,248.45,183.51,187.73,142.79,123.52,50.97
Montgomery,32.083914,-82.539273,25.03208889,0.0,64.60623087054098,60.36,104.3,107.51,169.0,163.72,98.56,66.5,43.87,222.98,94.47,99.96,106.46,110.68,115.41,122.52,162.62
Morgan,33.579319,-83.505152,18.26479693,0.0,34.36565468849068,193.48,107.53,211.96,36.06,62.52,64.67,112.24,92.07,105.84,63.56,266.37,178.93,205.65,93.22,167.69,63.66
Murray,34.785186,-84.735226,23.21277618,0.0,16.9049354130156,321.76,204.64,314.0,111.73,107.31,169.65,214.27,225.07,65.55,173.25,394.65,329.72,333.94,234.25,269.73,108.32
Muscogee,32.484065,-84.850217,24.86118375,0.0,1.6991231426367726,209.0,68.23,167.98,129.55,85.32,90.15,99.56,129.04,129.43,92.29,248.59,233.69,237.91,214.48,87.23,85.53
Newton,33.571551,-83.84461,8.886239945,0.0,7.771517994468408,212.42,102.98,212.33,14.73,36.94,67.99,112.61,103.88,84.51,63.9,285.31,199.22,224.59,113.51,168.06,36.27
Oconee,33.829579,-83.427592,4.70333682,0.0,1.2641003074072674,210.64,125.75,230.98,44.86,71.32,82.89,131.25,109.22,117.67,82.58,283.53,186.38,202.05,100.67,186.71,72.46
Oglethorpe,33.870268,-83.104938,25.61785245,0.0,14.688985172657038,198.63,148.7,243.45,63.91,91.93,98.16,143.73,119.24,133.14,95.06,267.06,177.71,193.38,79.09,199.19,93.06
Paulding,33.890853,-84.856916,24.25061138,0.0,34.074670431903705,267.45,150.33,259.68,57.94,53.0,115.33,159.96,170.76,16.62,118.93,340.34,275.4,279.62,180.46,197.49,51.76
Peach,32.554346,-83.835073,3.814905783,0.0,7.666739668594687,141.85,28.69,132.13,97.49,92.21,27.03,32.41,60.89,151.48,29.17,181.44,165.53,169.75,151.36,87.86,91.11
Pickens,34.463062,-84.46824,9.260990797,0.0,16.400328644043032,293.55,176.43,285.78,83.52,79.1,141.43,186.06,196.85,55.2,145.03,366.44,301.5,305.72,206.04,241.51,80.11
Pierce,31.343007,-82.235219,52.3782884,277.4265571,86.65582316689493,32.34,157.74,75.61,228.74,223.47,158.3,111.87,103.61,282.73,154.21,59.22,107.26,97.31,166.4,127.9,222.36
Pike,33.081484,-84.396948,15.91347309,0.0,13.773148250486932,204.8,75.58,197.04,54.43,37.56,52.69,97.31,108.11,99.79,56.29,277.69,212.76,216.98,165.84,119.64,37.0
Polk,33.998158,-85.156747,10.87507951,0.0,22.327676066262985,286.84,169.71,279.07,77.32,72.39,134.72,179.35,190.14,9.41,138.32,359.73,294.79,299.01,199.84,208.73,71.14
Pulaski,32.233052,-83.46744,25.27466391,0.0,13.445985525710094,113.07,39.5,115.09,122.9,117.63,52.44,3.57,45.79,176.89,54.59,152.66,150.44,154.66,135.43,70.82,116.53
Putnam,33.32315,-83.341417,19.53004622,0.0,36.993202284321825,169.57,98.49,193.24,56.88,71.99,47.94,93.52,68.16,126.66,44.84,242.46,177.52,181.74,93.11,148.97,70.89
Quitman,31.876985,-85.015441,8.574200251,0.0,44.736059244971955,215.92,74.54,142.63,179.79,151.69,127.33,110.73,160.04,179.67,129.47,236.73,264.69,268.91,251.66,61.88,151.9
Rabun,34.879612,-83.425136,3.553310668,0.0,0.020041686044490165,283.92,221.13,330.48,121.49,129.0,186.13,230.76,198.71,154.28,189.73,352.34,263.0,278.67,164.38,286.21,130.02
Randolph,31.762027,-84.746843,21.73251721,0.0,84.03059772328548,194.87,67.36,121.58,181.89,153.79,118.99,99.91,142.26,181.77,121.14,215.68,246.91,251.13,243.32,40.83,154.0
Richmond,33.385076,-82.09208,25.65093086,332.6414284,15.910822812795564,145.09,169.04,210.75,126.81,153.27,118.49,123.39,93.56,196.59,114.83,188.78,100.68,116.34,11.33,219.52,154.41
Rockdale,33.643028,-84.032206,1.0857989,0.0,1.4296155846851029,226.73,109.6,218.96,2.94,27.84,74.61,119.24,130.03,72.01,78.21,299.62,209.66,238.9,123.95,174.69,28.98
